local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
鳥取県,3135,3129,6,36,34,2021-04-01,3806,3800,6
島根県,2344,2338,6,27,20,2021-04-01,2826,2820,6
岡山県,3456,3441,15,48,38,2021-04-01,4150,4134,16
広島県,5647,5605,42,67,55,2021-04-01,7239,7189,50
山口県,8293,8243,50,82,88,2021-04-01,10067,10010,57
徳島県,10330,10286,44,95,93,2021-04-01,12778,12722,56
香川県,3231,3196,35,47,44,2021-04-01,3993,3948,45
愛媛県,7416,7331,85,82,65,2021-04-01,8860,8746,114
高知県,5595,5542,53,62,59,2021-04-01,6797,6734,63
福岡県,37119,36976,143,318,327,2021-04-01,49507,49309,198
佐賀県,6467,6421,46,68,64,2021-04-01,7641,7591,50
長崎県,7667,7619,48,67,65,2021-04-01,9694,9634,60
熊本県,7420,7357,63,93,83,2021-04-01,9261,9174,87
大分県,8846,8751,95,77,79,2021-04-01,10673,10561,112
宮崎県,7310,7286,24,55,80,2021-04-01,8892,8867,25
鹿児島県,11595,11430,165,120,125,2021-04-01,14617,14394,223
沖縄県,20176,20083,93,255,191,2021-04-01,25302,25181,121
札幌市,56097,55959,138,672,644,2021-04-01,71458,71299,159
仙台市,14306,14233,73,161,100,2021-04-01,18398,18293,105
さいたま市,15497,15445,52,182,137,2021-04-01,19541,19466,75
千葉市,17437,17299,138,291,223,2021-04-01,21243,21069,174
横浜市,54806,54709,97,638,612,2021-04-01,68847,68726,121
川崎市,23680,23652,28,225,213,2021-04-01,29532,29497,35
相模原市,10741,10703,38,153,109,2021-04-01,13948,13900,48
新潟市,9310,9282,28,108,94,2021-04-01,11795,11755,40
静岡市,7569,7505,64,86,50,2021-04-01,9394,9320,74
浜松市,5743,5678,65,77,63,2021-04-01,7181,7101,80
名古屋市,38533,38303,230,493,445,2021-04-01,47168,46906,262
京都市,32029,31668,361,277,310,2021-04-01,41635,41164,471
大阪市,112177,111627,550,1257,1299,2021-04-01,133886,133223,663
堺市,19310,19279,31,204,218,2021-04-01,24830,24793,37
神戸市,33797,33641,156,263,315,2021-04-01,43764,43581,183
岡山市,9814,9787,27,109,91,2021-04-01,12724,12688,36
広島市,18458,18391,67,211,173,2021-04-01,23655,23555,100
北九州市,18161,18090,71,140,182,2021-04-01,22396,22324,72
福岡市,33683,33562,121,413,397,2021-04-01,42431,42275,156
熊本市,11980,11948,32,166,144,2021-04-01,14967,14930,37
旭川市,9888,9859,29,86,72,2021-04-01,12139,12106,33
函館市,9355,9343,12,69,69,2021-04-01,11445,11433,12
青森市,6744,6743,1,55,59,2021-04-01,8252,8251,1
八戸市,3419,3411,8,35,24,2021-04-01,4181,4173,8
盛岡市,3866,3856,10,47,38,2021-04-01,4638,4625,13
秋田市,4300,4298,2,32,35,2021-04-01,5299,5296,3
山形市,1786,1772,14,17,20,2021-04-01,2157,2143,14
郡山市,2763,2757,6,32,15,2021-04-01,3314,3308,6
いわき市,3369,3364,5,42,19,2021-04-01,4265,4260,5
福島市,2615,2610,5,42,33,2021-04-01,3162,3157,5
水戸市,4109,4069,40,51,42,2021-04-01,5198,5141,57
宇都宮市,6694,6668,26,62,60,2021-04-01,8271,8239,32
前橋市,3385,3355,30,26,29,2021-04-01,4088,4049,39
高崎市,2920,2903,17,36,26,2021-04-01,3436,3419,17
川越市,3495,3489,6,31,26,2021-04-01,4429,4420,9
越谷市,3397,3378,19,40,26,2021-04-01,4373,4345,28
川口市,9149,9126,23,100,68,2021-04-01,11607,11577,30
船橋市,7285,7257,28,84,77,2021-04-01,9146,9099,47
柏市,3844,3838,6,68,42,2021-04-01,4854,4848,6
八王子市,7557,7547,10,75,51,2021-04-01,9469,9459,10
横須賀市,4192,4168,24,49,28,2021-04-01,5329,5300,29
富山市,2024,2020,4,27,14,2021-04-01,2345,2341,4
金沢市,3528,3502,26,21,13,2021-04-01,4035,4007,28
福井市,2078,2062,16,32,27,2021-04-01,2581,2562,19
甲府市,2390,2380,10,33,31,2021-04-01,2864,2854,10
長野市,2644,2622,22,36,15,2021-04-01,3249,3218,31
松本市,1585,1563,22,19,27,2021-04-01,1879,1844,35
岐阜市,5094,5074,20,29,29,2021-04-01,6077,6051,26
豊橋市,1746,1737,9,35,10,2021-04-01,2099,2090,9
豊田市,1796,1784,12,26,19,2021-04-01,2395,2379,16
岡崎市,1753,1735,18,25,13,2021-04-01,2199,2180,19
一宮市,2731,2708,23,33,28,2021-04-01,3398,3374,24
大津市,3046,3037,9,39,13,2021-04-01,3867,3856,11
高槻市,4317,4308,9,44,48,2021-04-01,5793,5784,9
東大阪市,13771,13737,34,113,129,2021-04-01,17502,17453,49
豊中市,7571,7543,28,57,70,2021-04-01,9661,9630,31
枚方市,5753,5727,26,68,47,2021-04-01,7510,7475,35
八尾市,5992,5991,1,56,45,2021-04-01,7745,7742,3
寝屋川市,5553,5527,26,62,38,2021-04-01,7206,7164,42
吹田市,4365,4363,2,44,38,2021-04-01,5659,5657,2
姫路市,6631,6617,14,53,49,2021-04-01,8170,8152,18
西宮市,5986,5929,57,48,47,2021-04-01,7810,7714,96
尼崎市,13600,13591,9,104,117,2021-04-01,17295,17285,10
明石市,3882,3868,14,28,32,2021-04-01,5094,5076,18
奈良市,5459,5425,34,46,29,2021-04-01,7145,7096,49
和歌山市,7448,7427,21,56,75,2021-04-01,8900,8872,28
鳥取市,2148,2131,17,27,13,2021-04-01,2795,2775,20
松江市,2091,2081,10,28,19,2021-04-01,2669,2654,15
倉敷市,5327,5319,8,47,61,2021-04-01,7030,7019,11
福山市,4766,4758,8,58,44,2021-04-01,6037,6029,8
呉市,2722,2706,16,23,22,2021-04-01,3386,3370,16
下関市,3134,3121,13,34,33,2021-04-01,3805,3791,14
高松市,4978,4918,60,55,24,2021-04-01,6191,6122,69
松山市,9481,9470,11,71,79,2021-04-01,11385,11371,14
高知市,8774,8735,39,63,69,2021-04-01,10999,10952,47
久留米市,5256,5244,12,58,43,2021-04-01,6596,6579,17
長崎市,9340,9285,55,65,61,2021-04-01,12041,11975,66
佐世保市,3978,3963,15,36,39,2021-04-01,4988,4969,19
大分市,6994,6923,71,56,56,2021-04-01,8381,8301,80
宮崎市,6877,6861,16,59,57,2021-04-01,8491,8472,19
鹿児島市,11758,11620,138,114,78,2021-04-01,14877,14696,181
那覇市,10352,10332,20,96,72,2021-04-01,13158,13133,25
