local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
堺市,19311,19282,29,157,210,2022-01-01,24621,24582,39
神戸市,33617,33447,170,289,305,2022-01-01,43328,43132,196
岡山市,9864,9818,46,112,108,2022-01-01,12653,12594,59
広島市,18436,18370,66,161,188,2022-01-01,23530,23445,85
北九州市,18172,18101,71,154,152,2022-01-01,22331,22254,77
福岡市,33854,33728,126,325,386,2022-01-01,42485,42327,158
熊本市,12050,12012,38,136,160,2022-01-01,14941,14888,53
旭川市,9806,9788,18,57,80,2022-01-01,11950,11929,21
函館市,9331,9325,6,57,60,2022-01-01,11318,11312,6
青森市,6721,6721,0,39,32,2022-01-01,8177,8177,0
八戸市,3361,3351,10,24,31,2022-01-01,4079,4067,12
盛岡市,3875,3860,15,40,37,2022-01-01,4562,4539,23
秋田市,4319,4316,3,26,20,2022-01-01,5312,5309,3
山形市,1779,1766,13,14,17,2022-01-01,2138,2124,14
郡山市,2794,2791,3,31,24,2022-01-01,3351,3345,6
いわき市,3381,3378,3,37,33,2022-01-01,4257,4253,4
福島市,2640,2637,3,20,39,2022-01-01,3183,3180,3
水戸市,4124,4086,38,35,30,2022-01-01,5211,5162,49
宇都宮市,6722,6681,41,49,57,2022-01-01,8248,8192,56
前橋市,3450,3422,28,28,34,2022-01-01,4160,4122,38
高崎市,2928,2915,13,22,30,2022-01-01,3432,3416,16
川越市,3449,3445,4,33,36,2022-01-01,4324,4318,6
越谷市,3458,3435,23,34,20,2022-01-01,4399,4362,37
川口市,9323,9296,27,97,109,2022-01-01,11715,11680,35
船橋市,7418,7389,29,52,52,2022-01-01,9251,9219,32
柏市,3939,3930,9,42,52,2022-01-01,4920,4909,11
八王子市,7810,7803,7,94,57,2022-01-01,9730,9722,8
横須賀市,4294,4263,31,49,52,2022-01-01,5467,5414,53
富山市,2131,2128,3,30,25,2022-01-01,2493,2489,4
金沢市,3583,3560,23,35,28,2022-01-01,4083,4058,25
福井市,2116,2101,15,23,17,2022-01-01,2599,2578,21
甲府市,2366,2358,8,24,23,2022-01-01,2803,2795,8
長野市,2658,2633,25,36,28,2022-01-01,3257,3226,31
松本市,1571,1559,12,19,17,2022-01-01,1848,1832,16
岐阜市,5028,5007,21,38,53,2022-01-01,5947,5925,22
豊橋市,1870,1855,15,31,19,2022-01-01,2262,2246,16
豊田市,1813,1800,13,22,21,2022-01-01,2371,2354,17
岡崎市,1766,1750,16,17,19,2022-01-01,2204,2176,28
一宮市,2794,2769,25,30,32,2022-01-01,3455,3426,29
大津市,3127,3108,19,18,27,2022-01-01,3970,3947,23
高槻市,4343,4336,7,37,38,2022-01-01,5786,5773,13
東大阪市,13597,13556,41,101,147,2022-01-01,17089,17033,56
豊中市,7532,7507,25,41,72,2022-01-01,9519,9491,28
枚方市,5843,5815,28,53,50,2022-01-01,7600,7560,40
八尾市,6088,6082,6,59,44,2022-01-01,7837,7828,9
寝屋川市,5711,5671,40,45,50,2022-01-01,7309,7251,58
吹田市,4342,4338,4,35,35,2022-01-01,5565,5561,4
姫路市,6659,6638,21,42,58,2022-01-01,8182,8156,26
西宮市,5988,5944,44,47,40,2022-01-01,7765,7684,81
尼崎市,13561,13544,17,120,105,2022-01-01,17193,17170,23
明石市,3917,3903,14,33,38,2022-01-01,5077,5061,16
奈良市,5461,5414,47,42,48,2022-01-01,7102,7031,71
和歌山市,7405,7382,23,59,80,2022-01-01,8821,8795,26
鳥取市,2145,2125,20,18,15,2022-01-01,2782,2755,27
松江市,2094,2083,11,14,23,2022-01-01,2674,2661,13
倉敷市,5309,5296,13,52,50,2022-01-01,6974,6951,23
福山市,4756,4738,18,41,55,2022-01-01,6026,6006,20
呉市,2658,2631,27,15,27,2022-01-01,3283,3244,39
下関市,3091,3082,9,19,31,2022-01-01,3743,3728,15
高松市,5069,5019,50,41,56,2022-01-01,6282,6219,63
松山市,9437,9428,9,52,79,2022-01-01,11244,11235,9
高知市,8646,8594,52,48,76,2022-01-01,10763,10694,69
久留米市,5311,5301,10,53,48,2022-01-01,6637,6618,19
長崎市,9290,9222,68,46,74,2022-01-01,11938,11861,77
佐世保市,3965,3958,7,32,33,2022-01-01,4952,4944,8
大分市,7004,6925,79,53,58,2022-01-01,8334,8239,95
宮崎市,6770,6758,12,61,70,2022-01-01,8361,8349,12
鹿児島市,11789,11621,168,73,79,2022-01-01,14895,14691,204
那覇市,10565,10550,15,116,91,2022-01-01,13338,13321,17
