local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
いわき市,3402,3400,2,53,58,2021-12-01,4271,4268,3
福島市,2652,2649,3,53,32,2021-12-01,3203,3200,3
水戸市,4125,4089,36,46,36,2021-12-01,5212,5158,54
宇都宮市,6742,6696,46,55,69,2021-12-01,8284,8224,60
前橋市,3466,3432,34,18,44,2021-12-01,4170,4124,46
高崎市,2941,2926,15,31,35,2021-12-01,3452,3431,21
川越市,3457,3453,4,25,41,2021-12-01,4329,4322,7
越谷市,3453,3432,21,43,29,2021-12-01,4408,4376,32
川口市,9283,9261,22,87,57,2021-12-01,11673,11647,26
船橋市,7424,7395,29,69,58,2021-12-01,9253,9221,32
柏市,3958,3945,13,42,61,2021-12-01,4954,4938,16
八王子市,7785,7776,9,82,69,2021-12-01,9715,9706,9
横須賀市,4281,4256,25,53,36,2021-12-01,5450,5408,42
富山市,2133,2131,2,37,32,2021-12-01,2499,2497,2
金沢市,3576,3557,19,44,28,2021-12-01,4077,4057,20
福井市,2111,2095,16,24,18,2021-12-01,2596,2575,21
甲府市,2364,2356,8,24,22,2021-12-01,2805,2797,8
長野市,2663,2636,27,35,41,2021-12-01,3266,3231,35
松本市,1570,1558,12,27,18,2021-12-01,1846,1831,15
岐阜市,5038,5016,22,18,48,2021-12-01,5965,5942,23
豊橋市,1858,1845,13,26,19,2021-12-01,2245,2232,13
豊田市,1813,1802,11,28,22,2021-12-01,2378,2363,15
岡崎市,1780,1764,16,30,31,2021-12-01,2222,2199,23
一宮市,2789,2767,22,34,25,2021-12-01,3456,3430,26
大津市,3133,3107,26,34,24,2021-12-01,3974,3943,31
高槻市,4348,4342,6,45,42,2021-12-01,5799,5793,6
東大阪市,13623,13580,43,100,127,2021-12-01,17148,17085,63
豊中市,7552,7520,32,58,61,2021-12-01,9558,9522,36
枚方市,5829,5809,20,52,39,2021-12-01,7580,7554,26
八尾市,6086,6082,4,74,57,2021-12-01,7835,7828,7
寝屋川市,5715,5682,33,68,49,2021-12-01,7330,7285,45
吹田市,4346,4342,4,46,39,2021-12-01,5575,5569,6
姫路市,6671,6653,18,55,54,2021-12-01,8208,8186,22
西宮市,6001,5948,53,54,60,2021-12-01,7773,7679,94
尼崎市,13556,13538,18,85,115,2021-12-01,17189,17166,23
明石市,3922,3910,12,42,38,2021-12-01,5087,5072,15
奈良市,5448,5395,53,38,29,2021-12-01,7085,7011,74
和歌山市,7392,7375,17,56,46,2021-12-01,8805,8784,21
鳥取市,2147,2126,21,26,20,2021-12-01,2784,2756,28
松江市,2094,2083,11,24,14,2021-12-01,2669,2656,13
倉敷市,5311,5298,13,56,54,2021-12-01,6982,6961,21
福山市,4754,4736,18,36,39,2021-12-01,6028,6008,20
呉市,2673,2651,22,18,30,2021-12-01,3306,3276,30
下関市,3101,3087,14,25,29,2021-12-01,3752,3734,18
高松市,5072,5013,59,37,44,2021-12-01,6273,6203,70
松山市,9455,9446,9,85,70,2021-12-01,11264,11253,11
高知市,8675,8622,53,69,77,2021-12-01,10807,10739,68
久留米市,5302,5291,11,44,44,2021-12-01,6620,6600,20
長崎市,9312,9245,67,64,68,2021-12-01,11970,11893,77
佐世保市,3970,3962,8,35,37,2021-12-01,4958,4949,9
大分市,6998,6930,68,71,47,2021-12-01,8330,8248,82
宮崎市,6776,6762,14,52,67,2021-12-01,8367,8353,14
鹿児島市,11809,11649,160,95,93,2021-12-01,14932,14728,204
那覇市,10546,10529,17,89,97,2021-12-01,13327,13306,21
