"id","population_total","population_male","population_female","year","unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","date","prefec_kanji","prefec"
99,125502,61019,64483,2021,325.71751844592114,294.816368672053,354.9586712777011,402976.33474366943,408262.9061275996,397973.7557805933,"2021-12-01","全国","zenkoku"
1,5183,2446,2737,2021,391.3370634767509,326.28781684382665,449.4702228717574,500037.93497974146,473994.34260016354,523312.552064304,"2021-01-01","北海道","Hokkaido"
1,5183,2446,2737,2021,394.1539648852016,337.7350776778414,444.5743514797223,438563.3162261239,428626.223630417,447443.88929484837,"2021-02-01","北海道","Hokkaido"
1,5183,2446,2737,2021,405.15145668531744,353.22976287816846,451.5527950310559,529448.2074088366,528273.2358953393,530498.2550237486,"2021-03-01","北海道","Hokkaido"
1,5183,2446,2737,2021,394.48196025467877,340.71954210956665,442.5283156740957,478813.00675284583,472992.4059689289,484014.75666788453,"2021-04-01","北海道","Hokkaido"
1,5183,2446,2737,2021,405.47945205479454,334.42354865085855,468.9806357325539,466089.0928033957,443195.0110384301,486549.0577274388,"2021-05-01","北海道","Hokkaido"
1,5183,2446,2737,2021,439.24368126567623,354.5380212591987,514.9433686518086,545710.3312753232,507966.6941946034,579441.0350748996,"2021-06-01","北海道","Hokkaido"
1,5183,2446,2737,2021,446.96121937102066,353.1888798037612,530.7636097917427,536061.2214933436,485625.32788225677,581134.7310924369,"2021-07-01","北海道","Hokkaido"
1,5183,2446,2737,2021,449.72023924368125,353.63859362224036,535.586408476434,554920.1863785452,497225.9546197874,606480.3218852759,"2021-08-01","北海道","Hokkaido"
1,5183,2446,2737,2021,428.32336484661397,339.08421913327885,508.07453416149065,540736.2251591742,484809.1067048242,590717.1282426014,"2021-09-01","北海道","Hokkaido"
1,5183,2446,2737,2021,398.68801852209145,320.23712183156175,468.7979539641944,460819.15145668533,419330.30662305804,497896.8695652174,"2021-10-01","北海道","Hokkaido"
1,5183,2446,2737,2021,396.70075245996526,324.897792313982,460.8695652173913,477346.73220142775,444685.7886345053,506535.1384727804,"2021-11-01","北海道","Hokkaido"
1,5183,2446,2737,2021,367.9529230175574,300.3270645952575,428.38874680306907,410431.51668917615,375221.6173344235,441897.8717573986,"2021-12-01","北海道","Hokkaido"
2,1221,575,646,2021,442.17854217854216,398.0869565217391,481.4241486068111,522125.28091728094,538835.8747826087,507251.3003095975,"2021-01-01","青森","Aomori"
2,1221,575,646,2021,431.20393120393123,390.60869565217394,467.3374613003096,457894.9090909091,481153.9043478261,437192.24303405575,"2021-02-01","青森","Aomori"
2,1221,575,646,2021,447.09254709254714,412.69565217391306,477.7089783281734,550554.1392301392,580487.9530434783,523910.26470588235,"2021-03-01","青森","Aomori"
2,1221,575,646,2021,440.3767403767404,395.1304347826087,480.6501547987616,473028.2981162981,493156.5443478261,455112.2894736842,"2021-04-01","青森","Aomori"
2,1221,575,646,2021,468.55036855036855,406.60869565217394,523.6842105263157,522059.466011466,525755.3669565218,518769.7708978328,"2021-05-01","青森","Aomori"
2,1221,575,646,2021,478.95167895167896,412.86956521739125,537.7708978328174,555566.8738738738,558080.7634782608,553329.2786377709,"2021-06-01","青森","Aomori"
2,1221,575,646,2021,502.21130221130215,429.5652173913044,566.8730650154798,581835.2858312859,568414.9913043479,593780.5944272446,"2021-07-01","青森","Aomori"
2,1221,575,646,2021,504.01310401310405,428.1739130434783,571.5170278637771,557103.6208026208,549199.0034782608,564139.4643962848,"2021-08-01","青森","Aomori"
2,1221,575,646,2021,480.5077805077805,414.60869565217394,539.1640866873065,591768.4037674038,593600.187826087,590137.9458204334,"2021-09-01","青森","Aomori"
2,1221,575,646,2021,445.1269451269451,385.04347826086956,498.60681114551085,489515.0475020475,489301.06260869565,489705.51393188856,"2021-10-01","青森","Aomori"
2,1221,575,646,2021,432.18673218673223,377.7391304347826,480.6501547987616,486744.6322686323,484252.07130434783,488963.24303405575,"2021-11-01","青森","Aomori"
2,1221,575,646,2021,413.9230139230139,366.95652173913044,455.7275541795666,463142.8697788698,469393.46260869567,457579.26160990715,"2021-12-01","青森","Aomori"
3,1196,577,620,2021,367.056856187291,341.7677642980936,390,406381.89130434784,425699.1247833622,387748.94677419355,"2021-01-01","岩手","Iwate"
3,1196,577,620,2021,361.53846153846155,332.9289428076256,387.58064516129036,375670.372909699,386316.849220104,365156.36129032256,"2021-02-01","岩手","Iwate"
3,1196,577,620,2021,362.123745819398,335.35528596187174,386.45161290322585,446466.6889632107,456592.1126516464,436323.4048387097,"2021-03-01","岩手","Iwate"
3,1196,577,620,2021,337.3745819397993,312.13171577123046,360.3225806451613,369293.11705685616,387256.1143847487,351980.3064516129,"2021-04-01","岩手","Iwate"
3,1196,577,620,2021,348.9130434782609,297.2270363951473,396.4516129032258,366173.4665551839,360807.1473136915,370577.00322580646,"2021-05-01","岩手","Iwate"
3,1196,577,620,2021,385.4515050167224,333.4488734835355,433.22580645161287,462285.3202341137,460198.1802426343,463482.085483871,"2021-06-01","岩手","Iwate"
3,1196,577,620,2021,390.7190635451505,335.35528596187174,441.61290322580646,445864.7533444816,432187.38994800695,457874.38870967744,"2021-07-01","岩手","Iwate"
3,1196,577,620,2021,397.24080267558526,341.9410745233969,448.06451612903226,465604.0961538461,449863.5979202773,479501.94032258063,"2021-08-01","岩手","Iwate"
3,1196,577,620,2021,376.0033444816054,322.1837088388215,425.48387096774195,457760.98745819397,438118.9740034662,475302.40806451614,"2021-09-01","岩手","Iwate"
3,1196,577,620,2021,352.9264214046823,299.48006932409015,402.09677419354836,380396.9214046823,365811.82842287695,393356.9241935484,"2021-10-01","岩手","Iwate"
3,1196,577,620,2021,341.72240802675583,301.03986135181975,379.03225806451616,376260.92224080267,376286.8648180243,375629.9064516129,"2021-11-01","岩手","Iwate"
3,1196,577,620,2021,323.9966555183946,287.34835355285963,357.5806451612903,361873.40050167224,365398.7625649913,358008.87258064514,"2021-12-01","岩手","Iwate"
4,2290,1117,1174,2021,359.0393013100437,320.5013428827216,395.4003407155025,466671.1707423581,475889.7833482543,457502.6345826235,"2021-01-01","宮城","Miyagi"
4,2290,1117,1174,2021,345.9825327510917,312.1754700089526,377.8534923339012,390317.2737991266,401518.17278424354,379327.7325383305,"2021-02-01","宮城","Miyagi"
4,2290,1117,1174,2021,344.06113537117903,317.7260519247985,368.824531516184,465827.36593886465,490651.8943598926,441811.3304940375,"2021-03-01","宮城","Miyagi"
4,2290,1117,1174,2021,334.7598253275109,307.78871978513877,360.13628620102213,418332.52838427946,438567.1808415398,398723.9770017036,"2021-04-01","宮城","Miyagi"
4,2290,1117,1174,2021,348.0349344978166,303.3124440465533,390.28960817717206,399139.85895196506,395898.62757385854,401883.7393526405,"2021-05-01","宮城","Miyagi"
4,2290,1117,1174,2021,392.6637554585153,332.4977618621307,449.57410562180576,510672.03799126635,491683.1468218442,528303.996592845,"2021-06-01","宮城","Miyagi"
4,2290,1117,1174,2021,394.27947598253274,327.84243509400176,457.15502555366265,476749.3794759825,454151.4386750224,497844.05621805793,"2021-07-01","宮城","Miyagi"
4,2290,1117,1174,2021,404.8908296943232,340.6445837063563,465.67291311754684,517908.7113537118,498603.2748433303,535835.6822827939,"2021-08-01","宮城","Miyagi"
4,2290,1117,1174,2021,383.66812227074234,329.27484333034914,435.0936967632027,495747.0091703057,483262.36526410026,507203.227427598,"2021-09-01","宮城","Miyagi"
4,2290,1117,1174,2021,364.235807860262,316.5622202327663,409.28449744463376,435990.47816593887,427891.321396598,443325.0332197615,"2021-10-01","宮城","Miyagi"
4,2290,1117,1174,2021,348.29694323144105,305.550581915846,388.67120954003406,429421.10917030566,424076.9400179051,434140.0323679727,"2021-11-01","宮城","Miyagi"
4,2290,1117,1174,2021,343.056768558952,298.29901521933755,385.34923339011925,403305.7672489083,398385.37242614146,407643.73594548553,"2021-12-01","宮城","Miyagi"
5,945,446,499,2021,402.53968253968253,400.22421524663673,404.6092184368738,478588.2582010582,542697.7892376682,421287.95591182366,"2021-01-01","秋田","Akita"
5,945,446,499,2021,392.8042328042328,393.0493273542601,392.5851703406813,414746.964021164,477655.81838565023,358519.81162324647,"2021-02-01","秋田","Akita"
5,945,446,499,2021,397.67195767195767,393.0493273542601,401.80360721442884,483419.4783068783,544067.7040358745,429212.8476953908,"2021-03-01","秋田","Akita"
5,945,446,499,2021,395.23809523809524,381.390134529148,407.61523046092185,438783.0010582011,480996.567264574,401053.0400801603,"2021-04-01","秋田","Akita"
5,945,446,499,2021,396.9312169312169,371.0762331838565,420.0400801603206,431643.8476190476,464053.9730941704,402676.0801603206,"2021-05-01","秋田","Akita"
5,945,446,499,2021,414.1798941798942,375.33632286995515,448.8977955911824,507005.6275132275,521591.0067264574,493969.3967935872,"2021-06-01","秋田","Akita"
5,945,446,499,2021,421.5873015873016,377.57847533632287,460.92184368737475,491672.5015873016,497497.4775784753,486466.2104208417,"2021-07-01","秋田","Akita"
5,945,446,499,2021,425.6084656084656,378.6995515695067,467.5350701402806,501921.58201058203,498980.65022421523,504550.1503006012,"2021-08-01","秋田","Akita"
5,945,446,499,2021,404.23280423280426,362.10762331838566,441.88376753507015,471227.45185185183,468395.769058296,473758.374749499,"2021-09-01","秋田","Akita"
5,945,446,499,2021,367.6190476190476,329.5964125560538,401.60320641282567,401593.2275132275,403307.48430493276,400061.0460921844,"2021-10-01","秋田","Akita"
5,945,446,499,2021,359.6825396825397,327.57847533632287,388.37675350701403,398828.1798941799,413235.84529147984,385950.7875751503,"2021-11-01","秋田","Akita"
5,945,446,499,2021,324.23280423280426,289.9103139013453,354.90981963927857,351617.94603174605,364010.8071748879,340541.3607214429,"2021-12-01","秋田","Akita"
6,1055,511,544,2021,365.1184834123223,329.1585127201566,398.8970588235294,436240.83412322274,439909.87084148725,432794.3676470588,"2021-01-01","山形","Yamagata"
6,1055,511,544,2021,335.07109004739334,316.63405088062626,352.3897058823529,364585.2966824645,384035.6438356164,346314.8419117647,"2021-02-01","山形","Yamagata"
6,1055,511,544,2021,344.0758293838863,324.853228962818,362.13235294117646,424116.70616113744,450302.70058708417,399519.20036764705,"2021-03-01","山形","Yamagata"
6,1055,511,544,2021,329.85781990521326,317.8082191780822,341.1764705882353,374369.42180094786,395582.04500978475,354443.59375,"2021-04-01","山形","Yamagata"
6,1055,511,544,2021,356.87203791469193,326.2230919765166,385.6617647058823,383154.28909952607,388349.0998043053,378274.60477941175,"2021-05-01","山形","Yamagata"
6,1055,511,544,2021,407.10900473933646,356.94716242661445,454.22794117647055,509783.4028436019,501734.4442270059,517344.0974264706,"2021-06-01","山形","Yamagata"
6,1055,511,544,2021,394.88151658767777,342.27005870841487,444.3014705882353,494337.0075829384,475692.6810176125,511850.3363970588,"2021-07-01","山形","Yamagata"
6,1055,511,544,2021,380.37914691943126,326.2230919765166,431.25,456265.6170616114,437703.42661448143,473701.79227941175,"2021-08-01","山形","Yamagata"
6,1055,511,544,2021,344.4549763033175,299.2172211350293,386.9485294117647,425229.6758293839,412561.5401174168,437129.3400735294,"2021-09-01","山形","Yamagata"
