"prefec_kanji","date","households_total","households_receive","households_suspend","persons_total","persons_receive","persons_suspend","households_start","households_end","prefec","id","year","month","population_total","population_male","population_female"
"福岡","2022-05-01",1831.9086651053865,1824.3364558938329,7.572209211553474,2328.5714285714284,2319.2622950819673,9.30913348946136,16.21779859484778,16.47150663544106,"Fukuoka",40,2022,5,5124,2425,2698
"福島","2019-01-01",744.8497854077253,741.7918454935623,3.0579399141630903,926.9849785407725,923.5515021459227,3.4334763948497855,8.744635193133048,8.959227467811159,"Fukushima",7,2019,1,1864,923,932
"福島","2019-02-01",745.9227467811158,742.7038626609442,3.2188841201716736,928.3261802575108,924.7317596566523,3.594420600858369,10.032188841201716,8.047210300429185,"Fukushima",7,2019,2,1864,923,932
"福島","2019-03-01",747.3175965665237,744.5815450643777,2.736051502145923,929.7210300429185,926.5021459227468,3.2188841201716736,9.44206008583691,8.690987124463518,"Fukushima",7,2019,3,1864,923,932
"福島","2019-04-01",748.6051502145923,745.6545064377682,2.9506437768240343,928.3261802575108,924.7854077253219,3.5407725321888415,9.97854077253219,7.296137339055794,"Fukushima",7,2019,4,1864,923,932
"福島","2019-05-01",749.4098712446352,746.4592274678112,2.9506437768240343,928.9163090128754,925.1609442060087,3.755364806866953,8.100858369098713,8.208154506437767,"Fukushima",7,2019,5,1864,923,932
"福島","2019-06-01",751.5557939914163,748.6051502145923,2.9506437768240343,931.598712446352,928.0042918454935,3.594420600858369,10.354077253218884,9.281115879828326,"Fukushima",7,2019,6,1864,923,932
"福島","2019-07-01",752.4678111587983,749.7854077253219,2.682403433476395,932.7789699570815,929.5600858369098,3.2188841201716736,10.193133047210301,7.13519313304721,"Fukushima",7,2019,7,1864,923,932
"福島","2019-08-01",754.8283261802575,752.3068669527897,2.521459227467811,935.9442060085836,933.0472103004291,2.896995708154506,9.549356223175966,10.193133047210301,"Fukushima",7,2019,8,1864,923,932
"福島","2019-09-01",754.0236051502146,751.931330472103,2.092274678111588,934.1738197424892,931.7596566523605,2.4141630901287554,9.388412017167381,8.42274678111588,"Fukushima",7,2019,9,1864,923,932
"福島","2019-10-01",755.1502145922747,753.4871244635193,1.6630901287553648,935.4077253218884,933.4763948497854,1.9313304721030045,9.549356223175966,7.725321888412018,"Fukushima",7,2019,10,1864,923,932
"福島","2019-11-01",756.1695278969956,753.862660944206,2.3068669527897,937.8755364806867,934.763948497854,3.111587982832618,8.744635193133048,10.193133047210301,"Fukushima",7,2019,11,1864,923,932
"福島","2019-12-01",753.8090128755365,751.4484978540772,2.3605150214592276,933.7982832618027,930.7403433476395,3.0579399141630903,7.832618025751073,9.2274678111588,"Fukushima",7,2019,12,1864,923,932
"福島","2020-01-01",759.6966413867822,757.3672806067173,2.3293607800650054,940.03250270855915,937.26977248104,2.76273022751896,7.854821235102925,10.942578548212351,"Fukushima",7,2020,1,1846,914,931
"福島","2020-02-01",756.5005417118093,754.1711809317444,2.3293607800650054,935.9696641386781,933.3152762730227,2.654387865655471,7.746478873239436,7.367280606717226,"Fukushima",7,2020,2,1846,914,931
"福島","2020-03-01",758.7215601300107,756.3380281690141,2.38353196099675,940.1408450704226,937.3781148429035,2.76273022751896,9.588299024918744,10.455037919826653,"Fukushima",7,2020,3,1846,914,931
"福島","2020-04-01",757.5297941495124,754.8212351029252,2.7085590465872156,935.807150595883,932.6110509209102,3.1960996749729147,9.263271939328277,9.15492957746479,"Fukushima",7,2020,4,1846,914,931
"福島","2020-05-01",755.5254604550379,752.9252437703142,2.600216684723727,931.7443120260021,928.7648970747563,2.9794149512459374,7.150595882990249,7.963163596966413,"Fukushima",7,2020,5,1846,914,931
"福島","2020-06-01",754.2253521126761,751.5709642470206,2.654387865655471,928.7107258938246,925.7313109425786,2.9794149512459374,6.663055254604551,7.854821235102925,"Fukushima",7,2020,6,1846,914,931
"福島","2020-07-01",755.9588299024919,753.3044420368365,2.654387865655471,930.2275189599133,927.3022751895992,2.925243770314193,9.588299024918744,9.100758396533044,"Fukushima",7,2020,7,1846,914,931
"福島","2020-08-01",753.3044420368365,751.0292524377031,2.275189599133261,927.3564463705309,924.972914409534,2.38353196099675,6.446370530877574,7.529794149512458,"Fukushima",7,2020,8,1846,914,931
"福島","2020-09-01",754.3878656554713,752.112676056338,2.275189599133261,928.4398699891657,925.7854821235103,2.654387865655471,8.613217768147345,6.338028169014084,"Fukushima",7,2020,9,1846,914,931
"福島","2020-10-01",758.7215601300107,756.8255687973998,1.895991332611051,932.5027085590467,930.1733477789816,2.3293607800650054,10.67172264355363,8.775731310942579,"Fukushima",7,2020,10,1846,914,931
"福島","2020-11-01",759.100758396533,756.8255687973998,2.275189599133261,932.6110509209102,929.8483206933911,2.76273022751896,9.15492957746479,7.638136511375948,"Fukushima",7,2020,11,1846,914,931
"福島","2020-12-01",761.1592632719394,758.9382448537378,2.221018418201517,934.1820151679306,931.6901408450703,2.4918743228602382,9.69664138678223,7.90899241603467,"Fukushima",7,2020,12,1846,914,931
"福島","2021-01-01",777.6490066225166,775.3311258278145,2.3178807947019866,954.1390728476822,951.766004415011,2.3730684326710816,10.264900662251655,8.885209713024283,"Fukushima",7,2021,1,1812,894,918
"福島","2021-02-01",779.4150110375276,777.2626931567329,2.152317880794702,956.2362030905078,954.0286975717439,2.207505518763797,10.65121412803532,8.664459161147903,"Fukushima",7,2021,2,1812,894,918
"福島","2021-03-01",783.719646799117,781.4569536423841,2.262693156732892,960.5408388520971,958.2229580573951,2.3178807947019866,12.969094922737307,13.189845474613687,"Fukushima",7,2021,3,1812,894,918
"福島","2021-04-01",781.4569536423841,779.1390728476821,2.3178807947019866,955.1324503311258,952.5938189845474,2.5386313465783665,10.8719646799117,7.28476821192053,"Fukushima",7,2021,4,1812,894,918
