local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
岡崎市,1783,1771,12,25,19,2022-04-01,2209,2194,15
一宮市,2804,2777,27,34,34,2022-04-01,3455,3423,32
大津市,3123,3103,20,23,24,2022-04-01,3960,3934,26
高槻市,4322,4316,6,33,36,2022-04-01,5718,5709,9
東大阪市,13437,13398,39,95,112,2022-04-01,16828,16769,59
豊中市,7475,7452,23,60,60,2022-04-01,9441,9413,28
枚方市,5814,5790,24,56,45,2022-04-01,7532,7501,31
八尾市,6087,6085,2,60,69,2022-04-01,7814,7812,2
寝屋川市,5696,5662,34,66,34,2022-04-01,7263,7213,50
吹田市,4354,4351,3,38,41,2022-04-01,5580,5575,5
姫路市,6629,6613,16,53,66,2022-04-01,8137,8119,18
西宮市,5984,5936,48,49,50,2022-04-01,7731,7650,81
尼崎市,13524,13507,17,96,122,2022-04-01,17070,17047,23
明石市,3895,3881,14,24,42,2022-04-01,5054,5040,14
奈良市,5427,5389,38,33,39,2022-04-01,7008,6950,58
和歌山市,7364,7345,19,50,69,2022-04-01,8757,8734,23
鳥取市,2141,2122,19,19,19,2022-04-01,2767,2736,31
松江市,2094,2082,12,29,20,2022-04-01,2655,2639,16
倉敷市,5311,5293,18,62,41,2022-04-01,6966,6942,24
福山市,4716,4700,16,35,56,2022-04-01,5953,5934,19
呉市,2630,2606,24,26,18,2022-04-01,3234,3206,28
下関市,3060,3043,17,17,28,2022-04-01,3692,3667,25
高松市,5038,5005,33,31,29,2022-04-01,6224,6187,37
松山市,9400,9382,18,61,66,2022-04-01,11193,11174,19
高知市,8553,8522,31,46,47,2022-04-01,10627,10584,43
久留米市,5300,5293,7,43,38,2022-04-01,6595,6587,8
長崎市,9253,9196,57,47,74,2022-04-01,11853,11782,71
佐世保市,3941,3925,16,23,31,2022-04-01,4913,4895,18
大分市,6954,6891,63,57,43,2022-04-01,8268,8198,70
宮崎市,6721,6710,11,34,45,2022-04-01,8239,8228,11
鹿児島市,11772,11608,164,76,87,2022-04-01,14827,14620,207
那覇市,10587,10565,22,113,82,2022-04-01,13299,13275,24
