local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
大阪市,111899,111354,545,1245,1197,2021-09-01,132912,132245,667
堺市,19334,19307,27,208,196,2021-09-01,24688,24651,37
神戸市,33701,33531,170,292,316,2021-09-01,43478,43263,215
岡山市,9891,9848,43,120,119,2021-09-01,12707,12654,53
広島市,18419,18354,65,209,182,2021-09-01,23546,23456,90
北九州市,18167,18098,69,157,143,2021-09-01,22331,22256,75
福岡市,33841,33706,135,385,360,2021-09-01,42473,42310,163
熊本市,12015,11984,31,155,140,2021-09-01,14929,14895,34
旭川市,9791,9754,37,79,65,2021-09-01,11958,11910,48
函館市,9331,9325,6,78,66,2021-09-01,11350,11343,7
青森市,6717,6716,1,33,54,2021-09-01,8188,8186,2
八戸市,3372,3357,15,27,24,2021-09-01,4106,4089,17
盛岡市,3856,3826,30,37,42,2021-09-01,4565,4522,43
秋田市,4321,4316,5,46,52,2021-09-01,5314,5309,5
山形市,1788,1772,16,17,18,2021-09-01,2145,2128,17
郡山市,2778,2773,5,48,19,2021-09-01,3339,3334,5
いわき市,3369,3367,2,47,31,2021-09-01,4254,4252,2
福島市,2610,2608,2,43,36,2021-09-01,3146,3144,2
水戸市,4106,4059,47,51,51,2021-09-01,5179,5114,65
宇都宮市,6701,6661,40,69,52,2021-09-01,8261,8208,53
前橋市,3441,3406,35,39,23,2021-09-01,4133,4090,43
高崎市,2912,2896,16,27,22,2021-09-01,3429,3411,18
川越市,3466,3462,4,31,18,2021-09-01,4354,4350,4
越谷市,3444,3416,28,31,25,2021-09-01,4396,4355,41
川口市,9225,9200,25,87,77,2021-09-01,11644,11612,32
船橋市,7366,7325,41,93,58,2021-09-01,9210,9148,62
柏市,3918,3909,9,59,37,2021-09-01,4914,4903,11
八王子市,7672,7662,10,71,45,2021-09-01,9559,9549,10
横須賀市,4236,4209,27,48,34,2021-09-01,5388,5355,33
富山市,2081,2077,4,33,21,2021-09-01,2423,2419,4
金沢市,3546,3530,16,37,35,2021-09-01,4052,4035,17
福井市,2086,2064,22,22,17,2021-09-01,2556,2533,23
甲府市,2363,2354,9,32,25,2021-09-01,2813,2804,9
長野市,2667,2634,33,36,27,2021-09-01,3262,3221,41
松本市,1574,1557,17,23,22,2021-09-01,1854,1830,24
岐阜市,5080,5051,29,29,41,2021-09-01,6008,5975,33
豊橋市,1824,1815,9,27,18,2021-09-01,2200,2190,10
豊田市,1805,1782,23,22,22,2021-09-01,2384,2351,33
岡崎市,1777,1756,21,20,26,2021-09-01,2225,2196,29
一宮市,2788,2758,30,50,25,2021-09-01,3477,3437,40
大津市,3103,3080,23,36,20,2021-09-01,3938,3909,29
高槻市,4313,4301,12,29,37,2021-09-01,5752,5737,15
東大阪市,13675,13639,36,117,125,2021-09-01,17228,17181,47
豊中市,7541,7500,41,65,56,2021-09-01,9559,9497,62
枚方市,5813,5778,35,54,41,2021-09-01,7551,7500,51
八尾市,6047,6043,4,59,46,2021-09-01,7800,7796,4
寝屋川市,5646,5617,29,75,28,2021-09-01,7242,7207,35
吹田市,4347,4343,4,28,45,2021-09-01,5585,5578,7
姫路市,6643,6624,19,71,41,2021-09-01,8171,8144,27
西宮市,5984,5928,56,42,48,2021-09-01,7769,7678,91
尼崎市,13582,13565,17,132,106,2021-09-01,17243,17218,25
明石市,3892,3878,14,33,26,2021-09-01,5044,5028,16
奈良市,5460,5406,54,31,35,2021-09-01,7110,7035,75
和歌山市,7433,7411,22,64,71,2021-09-01,8863,8831,32
鳥取市,2154,2128,26,13,23,2021-09-01,2790,2758,32
松江市,2083,2062,21,25,19,2021-09-01,2657,2625,32
倉敷市,5311,5302,9,59,45,2021-09-01,6977,6967,10
福山市,4770,4762,8,44,29,2021-09-01,6059,6051,8
呉市,2707,2683,24,24,32,2021-09-01,3353,3320,33
下関市,3108,3086,22,34,30,2021-09-01,3781,3756,25
高松市,5054,5005,49,51,46,2021-09-01,6260,6200,60
松山市,9427,9417,10,50,61,2021-09-01,11253,11239,14
高知市,8684,8632,52,43,63,2021-09-01,10837,10774,63
久留米市,5300,5286,14,54,40,2021-09-01,6635,6612,23
長崎市,9294,9231,63,50,54,2021-09-01,11944,11871,73
佐世保市,3972,3957,15,39,38,2021-09-01,4970,4952,18
大分市,6993,6924,69,60,45,2021-09-01,8340,8259,81
宮崎市,6787,6767,20,46,45,2021-09-01,8370,8347,23
鹿児島市,11806,11657,149,97,95,2021-09-01,14919,14726,193
那覇市,10482,10468,14,96,76,2021-09-01,13247,13231,16
