"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
7750,2940,4810,871805038,391562524,480242514,4,"2017-07-01",2017,"宮城","Miyagi"
3733,1538,2195,377056504,179550758,197505746,5,"2017-07-01",2017,"秋田","Akita"
3539,1410,2129,379644748,171352623,208292125,6,"2017-07-01",2017,"山形","Yamagata"
6868,3071,3797,786901412,395073002,391828410,7,"2017-07-01",2017,"福島","Fukushima"
7729,3193,4536,886117150,425238246,460878904,8,"2017-07-01",2017,"茨城","Ibaraki"
5922,2537,3385,681989362,330291529,351697833,9,"2017-07-01",2017,"栃木","Tochigi"
5128,2129,2999,578603470,274332379,304271091,10,"2017-07-01",2017,"群馬","Gunma"
19098,8318,10780,2247500001,1109230673,1138269328,11,"2017-07-01",2017,"埼玉","Saitama"
15825,6591,9234,1994161076,938348383,1055812693,12,"2017-07-01",2017,"千葉","Chiba"
36849,14861,21988,4843893765,2163359757,2680534008,13,"2017-07-01",2017,"東京","Tokyo"
24524,10555,13969,3131890928,1529904549,1601986379,14,"2017-07-01",2017,"神奈川","Kanagawa"
7257,2792,4465,805210741,346043376,459167365,15,"2017-07-01",2017,"新潟","Niigata"
2884,1031,1853,319573902,130785219,188788683,16,"2017-07-01",2017,"富山","Toyama"
3725,1309,2416,401867646,163248788,238618858,17,"2017-07-01",2017,"石川","Ishikawa"
2215,808,1407,232343376,94826500,137516876,18,"2017-07-01",2017,"福井","Fukui"
2244,899,1345,249465007,113385286,136079721,19,"2017-07-01",2017,"山梨","Yamanashi"
6940,2688,4252,740831506,327560951,413270555,20,"2017-07-01",2017,"長野","Nagano"
5427,2120,3307,579838070,259817518,320020552,21,"2017-07-01",2017,"岐阜","Gifu"
11096,4521,6575,1226263135,572183086,654080049,22,"2017-07-01",2017,"静岡","Shizuoka"
20343,7905,12438,2373329309,1036692039,1336637270,23,"2017-07-01",2017,"愛知","Aichi"
6233,2407,3826,667096179,300089265,367006914,24,"2017-07-01",2017,"三重","Mie"
5014,1914,3100,539302402,237524189,301778213,25,"2017-07-01",2017,"滋賀","Shiga"
8381,3110,5271,975679650,415430834,560248816,26,"2017-07-01",2017,"京都","Kyoto"
28283,11017,17266,3349667738,1478956697,1870711041,27,"2017-07-01",2017,"大阪","Osaka"
18638,7035,11603,2055468482,896452893,1159015589,28,"2017-07-01",2017,"兵庫","Hyogo"
4199,1739,2460,496633802,237712311,258921491,29,"2017-07-01",2017,"奈良","Nara"
3215,1279,1936,329094573,150562440,178532133,30,"2017-07-01",2017,"和歌山","Wakayama"
