"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
2365,816,1549,265575780,104521616,161054164,18,"2019-09-01",2019,"福井","Fukui"
2364,1031,1333,285698412,142969976,142728436,19,"2019-09-01",2019,"山梨","Yamanashi"
7006,2859,4147,794055000,365223904,428831096,20,"2019-09-01",2019,"長野","Nagano"
5778,2306,3472,646471435,293130891,353340544,21,"2019-09-01",2019,"岐阜","Gifu"
11530,4874,6656,1377118391,656973363,720145028,22,"2019-09-01",2019,"静岡","Shizuoka"
21547,8698,12849,2633089254,1191319652,1441769602,23,"2019-09-01",2019,"愛知","Aichi"
6030,2433,3597,700478603,317673296,382805307,24,"2019-09-01",2019,"三重","Mie"
4551,1755,2796,520045940,228778548,291267392,25,"2019-09-01",2019,"滋賀","Shiga"
9062,3478,5584,1107156841,475129096,632027745,26,"2019-09-01",2019,"京都","Kyoto"
29445,11227,18218,3634502814,1565561068,2068941746,27,"2019-09-01",2019,"大阪","Osaka"
19098,7476,11622,2278782243,1026151657,1252630586,28,"2019-09-01",2019,"兵庫","Hyogo"
3942,1628,2314,475348302,224240379,251107923,29,"2019-09-01",2019,"奈良","Nara"
3157,1163,1994,346346655,149652654,196694001,30,"2019-09-01",2019,"和歌山","Wakayama"
2167,865,1302,231688823,103329202,128359621,31,"2019-09-01",2019,"鳥取","Tottori"
2353,859,1494,252556200,104553712,148002488,32,"2019-09-01",2019,"島根","Shimane"
7131,2666,4465,777805167,327987925,449817242,33,"2019-09-01",2019,"岡山","Okayama"
10673,4003,6670,1190984568,512259372,678725196,34,"2019-09-01",2019,"広島","Hiroshima"
4373,1562,2811,518611938,220921412,297690526,35,"2019-09-01",2019,"山口","Yamaguchi"
2478,1063,1415,285705551,135251378,150454173,36,"2019-09-01",2019,"徳島","Tokushima"
3319,1239,2080,375132042,164447693,210684349,37,"2019-09-01",2019,"香川","Kagawa"
4858,1874,2984,543186134,243662856,299523278,38,"2019-09-01",2019,"愛媛","Ehime"
3127,1247,1880,352875095,159342885,193532210,39,"2019-09-01",2019,"高知","Kochi"
21178,7758,13420,2525421660,1070801413,1454620247,40,"2019-09-01",2019,"福岡","Fukuoka"
3195,1119,2076,349560603,140192206,209368397,41,"2019-09-01",2019,"佐賀","Saga"
5403,1898,3505,568549141,232895185,335653956,42,"2019-09-01",2019,"長崎","Nagasaki"
7000,2745,4255,763553815,341933132,421620683,43,"2019-09-01",2019,"熊本","Kumamoto"
4759,1744,3015,503863470,215847890,288015580,44,"2019-09-01",2019,"大分","Oita"
4596,1654,2942,491723901,204222536,287501365,45,"2019-09-01",2019,"宮崎","Miyazaki"
6708,2507,4201,729730238,318661798,411068440,46,"2019-09-01",2019,"鹿児島","Kagoshima"
4855,1896,2959,549968917,246884499,303084418,47,"2019-09-01",2019,"沖縄","Okinawa"
405337,162276,243061,54454607463,24754095138,29700512325,99,"2019-10-01",2019,"全国","zenkoku"
18943,6546,12397,2360889215,944094141,1416795074,1,"2019-10-01",2019,"北海道","Hokkaido"
5172,2021,3151,630096624,286219015,343877609,2,"2019-10-01",2019,"青森","Aomori"
4303,1710,2593,511217790,233661423,277556367,3,"2019-10-01",2019,"岩手","Iwate"
7712,3066,4646,1010657078,461326629,549330449,4,"2019-10-01",2019,"宮城","Miyagi"
3644,1398,2246,428345965,189509568,238836397,5,"2019-10-01",2019,"秋田","Akita"
3591,1430,2161,460511696,212194940,248316756,6,"2019-10-01",2019,"山形","Yamagata"
5768,2392,3376,765829208,361367152,404462056,7,"2019-10-01",2019,"福島","Fukushima"
7555,3198,4357,1048037536,509542216,538495320,8,"2019-10-01",2019,"茨城","Ibaraki"
5729,2457,3272,776923701,376692789,400230912,9,"2019-10-01",2019,"栃木","Tochigi"
5309,2308,3001,714842573,357788905,357053668,10,"2019-10-01",2019,"群馬","Gunma"
20887,9295,11592,3026147126,1507898013,1518249113,11,"2019-10-01",2019,"埼玉","Saitama"
16645,7235,9410,2427809253,1184519704,1243289549,12,"2019-10-01",2019,"千葉","Chiba"
38995,16351,22644,5960696367,2735278374,3225417993,13,"2019-10-01",2019,"東京","Tokyo"
25980,11648,14332,3902064349,1968348217,1933716132,14,"2019-10-01",2019,"神奈川","Kanagawa"
7014,2775,4239,865218654,390068684,475149970,15,"2019-10-01",2019,"新潟","Niigata"
3043,1209,1834,397087996,178013645,219074351,16,"2019-10-01",2019,"富山","Toyama"
3656,1369,2287,462768803,197417580,265351223,17,"2019-10-01",2019,"石川","Ishikawa"
2398,868,1530,303933633,125861351,178072282,18,"2019-10-01",2019,"福井","Fukui"
2416,1069,1347,325438241,164201458,161236783,19,"2019-10-01",2019,"山梨","Yamanashi"
6946,2804,4142,858418023,392047657,466370366,20,"2019-10-01",2019,"長野","Nagano"
5911,2322,3589,757361982,333106278,424255704,21,"2019-10-01",2019,"岐阜","Gifu"
11554,4837,6717,1532880455,721840495,811039960,22,"2019-10-01",2019,"静岡","Shizuoka"
21393,8706,12687,3045389708,1378171128,1667218580,23,"2019-10-01",2019,"愛知","Aichi"
6004,2409,3595,772828866,350204642,422624224,24,"2019-10-01",2019,"三重","Mie"
4575,1812,2763,593288020,264235248,329052772,25,"2019-10-01",2019,"滋賀","Shiga"
8794,3404,5390,1177480218,518762727,658717491,26,"2019-10-01",2019,"京都","Kyoto"
29073,11067,18006,3926938122,1672433308,2254504814,27,"2019-10-01",2019,"大阪","Osaka"
19030,7517,11513,2561680764,1165032171,1396648593,28,"2019-10-01",2019,"兵庫","Hyogo"
3962,1658,2304,514555788,244680920,269874868,29,"2019-10-01",2019,"奈良","Nara"
3176,1163,2013,392989109,166584965,226404144,30,"2019-10-01",2019,"和歌山","Wakayama"
2155,868,1287,248025273,111899796,136125477,31,"2019-10-01",2019,"鳥取","Tottori"
2301,890,1411,275432250,121112035,154320215,32,"2019-10-01",2019,"島根","Shimane"
6918,2633,4285,838558828,356735873,481822955,33,"2019-10-01",2019,"岡山","Okayama"
10396,3958,6438,1342083307,587265803,754817504,34,"2019-10-01",2019,"広島","Hiroshima"
4310,1531,2779,559280192,229815788,329464404,35,"2019-10-01",2019,"山口","Yamaguchi"
2375,1018,1357,309541055,149474376,160066679,36,"2019-10-01",2019,"徳島","Tokushima"
3280,1244,2036,400328482,172126592,228201890,37,"2019-10-01",2019,"香川","Kagawa"
4718,1857,2861,588907926,268998550,319909376,38,"2019-10-01",2019,"愛媛","Ehime"
2997,1209,1788,358397624,166985563,191412061,39,"2019-10-01",2019,"高知","Kochi"
20611,7587,13024,2694198814,1143187450,1551011364,40,"2019-10-01",2019,"福岡","Fukuoka"
3230,1131,2099,389166450,158038735,231127715,41,"2019-10-01",2019,"佐賀","Saga"
5490,1961,3529,638426691,264219424,374207267,42,"2019-10-01",2019,"長崎","Nagasaki"
7048,2787,4261,866584316,387944279,478640037,43,"2019-10-01",2019,"熊本","Kumamoto"
4650,1711,2939,549677186,235000037,314677149,44,"2019-10-01",2019,"大分","Oita"
4458,1575,2883,529950925,217920489,312030436,45,"2019-10-01",2019,"宮崎","Miyazaki"
6499,2403,4096,767677273,331734997,435942276,46,"2019-10-01",2019,"鹿児島","Kagoshima"
4723,1869,2854,586044008,260532008,325512000,47,"2019-10-01",2019,"沖縄","Okinawa"
385714,156924,228790,47028108850,21763908398,25264200452,99,"2019-11-01",2019,"全国","zenkoku"
17603,6113,11490,1971123651,801695542,1169428109,1,"2019-11-01",2019,"北海道","Hokkaido"
4795,1843,2952,504099285,225317606,278781679,2,"2019-11-01",2019,"青森","Aomori"
4115,1658,2457,458759491,210542378,248217113,3,"2019-11-01",2019,"岩手","Iwate"
7986,3288,4698,967243287,452851384,514391903,4,"2019-11-01",2019,"宮城","Miyagi"
3294,1277,2017,355432009,158221589,197210420,5,"2019-11-01",2019,"秋田","Akita"
3297,1334,1963,373121865,170681244,202440621,6,"2019-11-01",2019,"山形","Yamagata"
6039,2557,3482,724536117,349751796,374784321,7,"2019-11-01",2019,"福島","Fukushima"
7603,3240,4363,952759085,462427136,490331949,8,"2019-11-01",2019,"茨城","Ibaraki"
5901,2553,3348,745815878,364523273,381292605,9,"2019-11-01",2019,"栃木","Tochigi"
5757,2513,3244,710565438,350888938,359676500,10,"2019-11-01",2019,"群馬","Gunma"
21075,9451,11624,2757100420,1393936380,1363164040,11,"2019-11-01",2019,"埼玉","Saitama"
16103,7206,8897,2115198750,1062474955,1052723795,12,"2019-11-01",2019,"千葉","Chiba"
37931,16058,21873,5251124263,2425633241,2825491022,13,"2019-11-01",2019,"東京","Tokyo"
25023,11364,13659,3535608514,1805744687,1729863827,14,"2019-11-01",2019,"神奈川","Kanagawa"
6518,2580,3938,734954561,332762344,402192217,15,"2019-11-01",2019,"新潟","Niigata"
2775,1120,1655,331025681,151113535,179912146,16,"2019-11-01",2019,"富山","Toyama"
3586,1477,2109,424639304,200779902,223859402,17,"2019-11-01",2019,"石川","Ishikawa"
2218,834,1384,249337403,105936747,143400656,18,"2019-11-01",2019,"福井","Fukui"
2491,1088,1403,319786831,162655111,157131720,19,"2019-11-01",2019,"山梨","Yamanashi"
7213,2984,4229,870342601,404045059,466297542,20,"2019-11-01",2019,"長野","Nagano"
5584,2261,3323,630750893,289741386,341009507,21,"2019-11-01",2019,"岐阜","Gifu"
10897,4605,6292,1325510795,627834185,697676610,22,"2019-11-01",2019,"静岡","Shizuoka"
20052,8238,11814,2535375656,1170164500,1365211156,23,"2019-11-01",2019,"愛知","Aichi"
5792,2352,3440,658789772,302788992,356000780,24,"2019-11-01",2019,"三重","Mie"
4214,1711,2503,488610757,226458307,262152450,25,"2019-11-01",2019,"滋賀","Shiga"
8075,3135,4940,963885185,423886958,539998227,26,"2019-11-01",2019,"京都","Kyoto"
27491,10574,16917,3428583232,1499187570,1929395662,27,"2019-11-01",2019,"大阪","Osaka"
17325,7004,10321,2068075952,957782942,1110293010,28,"2019-11-01",2019,"兵庫","Hyogo"
3701,1561,2140,451227477,220409450,230818027,29,"2019-11-01",2019,"奈良","Nara"
2965,1104,1861,324375059,140377290,183997769,30,"2019-11-01",2019,"和歌山","Wakayama"
1997,825,1172,224909841,104198879,120710962,31,"2019-11-01",2019,"鳥取","Tottori"
2072,832,1240,222873334,100193387,122679947,32,"2019-11-01",2019,"島根","Shimane"
6381,2483,3898,684186729,297203730,386982999,33,"2019-11-01",2019,"岡山","Okayama"
9551,3678,5873,1067690942,472195093,595495849,34,"2019-11-01",2019,"広島","Hiroshima"
3886,1430,2456,446487513,189200231,257287282,35,"2019-11-01",2019,"山口","Yamaguchi"
2223,954,1269,252249836,120021154,132228682,36,"2019-11-01",2019,"徳島","Tokushima"
2980,1144,1836,342110253,149896124,192214129,37,"2019-11-01",2019,"香川","Kagawa"
4503,1762,2741,484243861,226401583,257842278,38,"2019-11-01",2019,"愛媛","Ehime"
2725,1089,1636,300278008,133857023,166420985,39,"2019-11-01",2019,"高知","Kochi"
19170,7152,12018,2197532143,949968286,1247563857,40,"2019-11-01",2019,"福岡","Fukuoka"
2890,1069,1821,323423576,137612851,185810725,41,"2019-11-01",2019,"佐賀","Saga"
5053,1846,3207,545252858,229948773,315304085,42,"2019-11-01",2019,"長崎","Nagasaki"
6365,2569,3796,712312444,331524242,380788202,43,"2019-11-01",2019,"熊本","Kumamoto"
4290,1610,2680,470671124,206149705,264521419,44,"2019-11-01",2019,"大分","Oita"
4098,1500,2598,434550993,186135737,248415256,45,"2019-11-01",2019,"宮崎","Miyazaki"
5811,2173,3638,616619331,265127905,351491426,46,"2019-11-01",2019,"鹿児島","Kagoshima"
4300,1725,2575,474956852,213659268,261297584,47,"2019-11-01",2019,"沖縄","Okinawa"
386234,159360,226874,44670296105,21015417268,23654878837,99,"2019-12-01",2019,"全国","zenkoku"
17360,6066,11294,1796045524,735095669,1060949855,1,"2019-12-01",2019,"北海道","Hokkaido"
4629,1777,2852,451858434,203112202,248746232,2,"2019-12-01",2019,"青森","Aomori"
4097,1661,2436,423993242,199478941,224514301,3,"2019-12-01",2019,"岩手","Iwate"
8326,3512,4814,966138234,462031352,504106882,4,"2019-12-01",2019,"宮城","Miyagi"
3209,1260,1949,334663012,152723174,181939838,5,"2019-12-01",2019,"秋田","Akita"
3227,1319,1908,338436378,158188301,180248077,6,"2019-12-01",2019,"山形","Yamagata"
6343,2753,3590,714714346,358252178,356462168,7,"2019-12-01",2019,"福島","Fukushima"
7738,3336,4402,894133286,435566815,458566471,8,"2019-12-01",2019,"茨城","Ibaraki"
5970,2586,3384,677807162,331383261,346423901,9,"2019-12-01",2019,"栃木","Tochigi"
6079,2825,3254,706263108,361370374,344892734,10,"2019-12-01",2019,"群馬","Gunma"
21639,9901,11738,2620077162,1335027198,1285049964,11,"2019-12-01",2019,"埼玉","Saitama"
16449,7442,9007,2161660864,1110919996,1050740868,12,"2019-12-01",2019,"千葉","Chiba"
38768,16565,22203,5059324061,2374570101,2684753960,13,"2019-12-01",2019,"東京","Tokyo"
25577,11713,13864,3333096685,1718600104,1614496581,14,"2019-12-01",2019,"神奈川","Kanagawa"
6382,2519,3863,667536153,300042960,367493193,15,"2019-12-01",2019,"新潟","Niigata"
2656,1097,1559,288457853,135423675,153034178,16,"2019-12-01",2019,"富山","Toyama"
3535,1529,2006,405881369,205049321,200832048,17,"2019-12-01",2019,"石川","Ishikawa"
2203,816,1387,254021647,108216915,145804732,18,"2019-12-01",2019,"福井","Fukui"
2493,1094,1399,285919623,141489911,144429712,19,"2019-12-01",2019,"山梨","Yamanashi"
7212,3027,4185,790408370,376838189,413570181,20,"2019-12-01",2019,"長野","Nagano"
5567,2288,3279,605750707,284770812,320979895,21,"2019-12-01",2019,"岐阜","Gifu"
10675,4548,6127,1196561574,573528030,623033544,22,"2019-12-01",2019,"静岡","Shizuoka"
19867,8304,11563,2279456651,1064844698,1214611953,23,"2019-12-01",2019,"愛知","Aichi"
5606,2314,3292,636192658,297311980,338880678,24,"2019-12-01",2019,"三重","Mie"
4280,1781,2499,474448031,227257834,247190197,25,"2019-12-01",2019,"滋賀","Shiga"
8057,3180,4877,946114103,424960368,521153735,26,"2019-12-01",2019,"京都","Kyoto"
27220,10676,16544,3170583720,1411729143,1758854577,27,"2019-12-01",2019,"大阪","Osaka"
17054,6902,10152,1910909608,887563770,1023345838,28,"2019-12-01",2019,"兵庫","Hyogo"
3671,1593,2078,423708611,212270034,211438577,29,"2019-12-01",2019,"奈良","Nara"
2971,1161,1810,314659658,144298137,170361521,30,"2019-12-01",2019,"和歌山","Wakayama"
1932,799,1133,206000529,97350015,108650514,31,"2019-12-01",2019,"鳥取","Tottori"
2009,773,1236,208077374,89563732,118513642,32,"2019-12-01",2019,"島根","Shimane"
6375,2502,3873,702811914,312916123,389895791,33,"2019-12-01",2019,"岡山","Okayama"
9551,3670,5881,1031059914,461082130,569977784,34,"2019-12-01",2019,"広島","Hiroshima"
3953,1485,2468,444696886,198559310,246137576,35,"2019-12-01",2019,"山口","Yamaguchi"
2169,931,1238,243071803,115255056,127816747,36,"2019-12-01",2019,"徳島","Tokushima"
2886,1138,1748,314107086,145442107,168664979,37,"2019-12-01",2019,"香川","Kagawa"
4291,1670,2621,469390563,216457771,252932792,38,"2019-12-01",2019,"愛媛","Ehime"
2737,1114,1623,298032213,135461441,162570772,39,"2019-12-01",2019,"高知","Kochi"
19283,7310,11973,2224007309,987402729,1236604580,40,"2019-12-01",2019,"福岡","Fukuoka"
2769,1024,1745,289297142,123806805,165490337,41,"2019-12-01",2019,"佐賀","Saga"
4856,1778,3078,496594339,213376880,283217459,42,"2019-12-01",2019,"長崎","Nagasaki"
6222,2535,3687,648474594,302347755,346126839,43,"2019-12-01",2019,"熊本","Kumamoto"
4167,1590,2577,438496041,197993027,240503014,44,"2019-12-01",2019,"大分","Oita"
3935,1498,2437,410383676,182092091,228291585,45,"2019-12-01",2019,"宮崎","Miyazaki"
5846,2209,3637,601703517,266402050,335301467,46,"2019-12-01",2019,"鹿児島","Kagoshima"
4393,1789,2604,515269371,237992803,277276568,47,"2019-12-01",2019,"沖縄","Okinawa"
383602,160622,222980,53943170976,25809597062,28133573914,99,"2020-01-01",2020,"全国","zenkoku"
17544,6372,11172,2282722870,966839404,1315883466,1,"2020-01-01",2020,"北海道","Hokkaido"
4742,1918,2824,591000059,276468685,314531374,2,"2020-01-01",2020,"青森","Aomori"
4167,1707,2460,508500521,242792475,265708046,3,"2020-01-01",2020,"岩手","Iwate"
8203,3494,4709,1123257597,548766793,574490804,4,"2020-01-01",2020,"宮城","Miyagi"
3132,1266,1866,362722131,167434228,195287903,5,"2020-01-01",2020,"秋田","Akita"
3366,1409,1957,440570488,208978920,231591568,6,"2020-01-01",2020,"山形","Yamagata"
6334,2820,3514,857290654,431432343,425858311,7,"2020-01-01",2020,"福島","Fukushima"
7992,3523,4469,1157435803,576920879,580514924,8,"2020-01-01",2020,"茨城","Ibaraki"
5803,2558,3245,837330429,415770278,421560151,9,"2020-01-01",2020,"栃木","Tochigi"
6244,2973,3271,904224593,489756037,414468556,10,"2020-01-01",2020,"群馬","Gunma"
22469,10429,12040,3434393682,1791043311,1643350371,11,"2020-01-01",2020,"埼玉","Saitama"
16248,7418,8830,2402363171,1248485336,1153877835,12,"2020-01-01",2020,"千葉","Chiba"
38783,16838,21945,6327620061,3018564149,3309055912,13,"2020-01-01",2020,"東京","Tokyo"
25130,11623,13507,4103312474,2147662801,1955649673,14,"2020-01-01",2020,"神奈川","Kanagawa"
6317,2487,3830,837750369,381335049,456415320,15,"2020-01-01",2020,"新潟","Niigata"
2561,1085,1476,343978120,164588936,179389184,16,"2020-01-01",2020,"富山","Toyama"
3506,1520,1986,496882295,253166883,243715412,17,"2020-01-01",2020,"石川","Ishikawa"
2157,801,1356,247512215,106230889,141281326,18,"2020-01-01",2020,"福井","Fukui"
2396,1031,1365,333380136,163843758,169536378,19,"2020-01-01",2020,"山梨","Yamanashi"
7387,3173,4214,987403953,478885364,508518589,20,"2020-01-01",2020,"長野","Nagano"
5555,2319,3236,741907395,352452612,389454783,21,"2020-01-01",2020,"岐阜","Gifu"
10717,4652,6065,1506340927,740612545,765728382,22,"2020-01-01",2020,"静岡","Shizuoka"
20063,8447,11616,2977322260,1421220601,1556101659,23,"2020-01-01",2020,"愛知","Aichi"
5665,2399,3266,751290834,359040168,392250666,24,"2020-01-01",2020,"三重","Mie"
4317,1824,2493,572758248,279466418,293291830,25,"2020-01-01",2020,"滋賀","Shiga"
7765,3106,4659,1064639904,486749795,577890109,26,"2020-01-01",2020,"京都","Kyoto"
26595,10600,15995,3775137708,1701941636,2073196072,27,"2020-01-01",2020,"大阪","Osaka"
16959,6905,10054,2372913523,1113376381,1259537142,28,"2020-01-01",2020,"兵庫","Hyogo"
3565,1592,1973,481295024,243331749,237963275,29,"2020-01-01",2020,"奈良","Nara"
2986,1202,1784,368448398,171930473,196517925,30,"2020-01-01",2020,"和歌山","Wakayama"
1904,803,1101,231383860,108598466,122785394,31,"2020-01-01",2020,"鳥取","Tottori"
2062,819,1243,251160037,112649736,138510301,32,"2020-01-01",2020,"島根","Shimane"
6048,2399,3649,757044689,338900095,418144594,33,"2020-01-01",2020,"岡山","Okayama"
9152,3530,5622,1235846940,551081137,684765803,34,"2020-01-01",2020,"広島","Hiroshima"
3785,1441,2344,507002019,229708576,277293443,35,"2020-01-01",2020,"山口","Yamaguchi"
2114,910,1204,289127860,143139177,145988683,36,"2020-01-01",2020,"徳島","Tokushima"
2922,1160,1762,362601119,167147457,195453662,37,"2020-01-01",2020,"香川","Kagawa"
4190,1591,2599,532208281,238605610,293602671,38,"2020-01-01",2020,"愛媛","Ehime"
2641,1087,1554,335459732,157812108,177647624,39,"2020-01-01",2020,"高知","Kochi"
18256,7006,11250,2351243218,1053750866,1297492352,40,"2020-01-01",2020,"福岡","Fukuoka"
2721,989,1732,346292803,148515751,197777052,41,"2020-01-01",2020,"佐賀","Saga"
4983,1824,3159,611234616,263189257,348045359,42,"2020-01-01",2020,"長崎","Nagasaki"
6288,2539,3749,788174072,364426918,423747154,43,"2020-01-01",2020,"熊本","Kumamoto"
4136,1593,2543,513691741,231585295,282106446,44,"2020-01-01",2020,"大分","Oita"
3922,1507,2415,471790199,212246391,259543808,45,"2020-01-01",2020,"宮崎","Miyazaki"
5703,2202,3501,665972520,301493359,364479161,46,"2020-01-01",2020,"鹿児島","Kagoshima"
4107,1731,2376,501231428,237657967,263573461,47,"2020-01-01",2020,"沖縄","Okinawa"
358131,152198,205933,42157272755,20427113025,21730159730,99,"2020-02-01",2020,"全国","zenkoku"
16784,6344,10440,1842304986,817776771,1024528215,1,"2020-02-01",2020,"北海道","Hokkaido"
4480,1863,2617,474429021,228289784,246139237,2,"2020-02-01",2020,"青森","Aomori"
3839,1594,2245,399117460,188944218,210173242,3,"2020-02-01",2020,"岩手","Iwate"
7198,3065,4133,814166545,403246561,410919984,4,"2020-02-01",2020,"宮城","Miyagi"
2936,1225,1711,309000502,147964377,161036125,5,"2020-02-01",2020,"秋田","Akita"
3333,1418,1915,361959637,176024022,185935615,6,"2020-02-01",2020,"山形","Yamagata"
5953,2647,3306,675833210,341388936,334444274,7,"2020-02-01",2020,"福島","Fukushima"
7259,3294,3965,862328583,445370662,416957921,8,"2020-02-01",2020,"茨城","Ibaraki"
5427,2429,2998,635179068,323320619,311858449,9,"2020-02-01",2020,"栃木","Tochigi"
5601,2758,2843,674977373,377732760,297244613,10,"2020-02-01",2020,"群馬","Gunma"
20316,9543,10773,2504584074,1326191269,1178392805,11,"2020-02-01",2020,"埼玉","Saitama"
15342,7060,8282,1964282245,1023004962,941277283,12,"2020-02-01",2020,"千葉","Chiba"
36101,15884,20217,4831849924,2327783157,2504066767,13,"2020-02-01",2020,"東京","Tokyo"
23562,11030,12532,3092763090,1624417093,1468345997,14,"2020-02-01",2020,"神奈川","Kanagawa"
6051,2453,3598,665267253,309550790,355716463,15,"2020-02-01",2020,"新潟","Niigata"
2500,1071,1429,288027441,140772962,147254479,16,"2020-02-01",2020,"富山","Toyama"
3322,1422,1900,384051823,186580365,197471458,17,"2020-02-01",2020,"石川","Ishikawa"
2031,771,1260,221993639,96396983,125596656,18,"2020-02-01",2020,"福井","Fukui"
2224,978,1246,256898883,127944521,128954362,19,"2020-02-01",2020,"山梨","Yamanashi"
6765,2929,3836,756281599,374535121,381746478,20,"2020-02-01",2020,"長野","Nagano"
5029,2116,2913,566174240,273428519,292745721,21,"2020-02-01",2020,"岐阜","Gifu"
10142,4466,5676,1172801171,578707172,594093999,22,"2020-02-01",2020,"静岡","Shizuoka"
19373,8265,11108,2339443026,1124469539,1214973487,23,"2020-02-01",2020,"愛知","Aichi"
5449,2386,3063,608897097,300739017,308158080,24,"2020-02-01",2020,"三重","Mie"
4205,1804,2401,473659620,235003196,238656424,25,"2020-02-01",2020,"滋賀","Shiga"
7194,2878,4316,846161834,389576793,456585041,26,"2020-02-01",2020,"京都","Kyoto"
25518,10351,15167,3053703005,1401708189,1651994816,27,"2020-02-01",2020,"大阪","Osaka"
15602,6484,9118,1803287188,858225958,945061230,28,"2020-02-01",2020,"兵庫","Hyogo"
3403,1533,1870,392694924,205422341,187272583,29,"2020-02-01",2020,"奈良","Nara"
2779,1165,1614,297508589,145934938,151573651,30,"2020-02-01",2020,"和歌山","Wakayama"
1656,727,929,181227889,88800623,92427266,31,"2020-02-01",2020,"鳥取","Tottori"
1961,810,1151,212422426,100645412,111777014,32,"2020-02-01",2020,"島根","Shimane"
5090,2083,3007,572136309,266385007,305751302,33,"2020-02-01",2020,"岡山","Okayama"
7876,3081,4795,894352740,407435326,486917414,34,"2020-02-01",2020,"広島","Hiroshima"
3686,1422,2264,404151726,181139774,223011952,35,"2020-02-01",2020,"山口","Yamaguchi"
2000,862,1138,229492721,111552919,117939802,36,"2020-02-01",2020,"徳島","Tokushima"
2737,1073,1664,297147876,134692061,162455815,37,"2020-02-01",2020,"香川","Kagawa"
3821,1447,2374,418951924,188923770,230028154,38,"2020-02-01",2020,"愛媛","Ehime"
2438,1004,1434,262071818,123254107,138817711,39,"2020-02-01",2020,"高知","Kochi"
17233,6690,10543,1947488882,875865171,1071623711,40,"2020-02-01",2020,"福岡","Fukuoka"
2480,923,1557,266061838,115876160,150185678,41,"2020-02-01",2020,"佐賀","Saga"
4648,1737,2911,485590779,213219269,272371510,42,"2020-02-01",2020,"長崎","Nagasaki"
5752,2361,3391,611991465,291147013,320844452,43,"2020-02-01",2020,"熊本","Kumamoto"
3931,1519,2412,418818115,187942295,230875820,44,"2020-02-01",2020,"大分","Oita"
3670,1450,2220,390684333,178737638,211946695,45,"2020-02-01",2020,"宮崎","Miyazaki"
5396,2078,3318,548453123,248384972,300068151,46,"2020-02-01",2020,"鹿児島","Kagoshima"
4038,1705,2333,446601741,212659913,233941828,47,"2020-02-01",2020,"沖縄","Okinawa"
361910,156279,205631,46382547280,22769470001,23613077279,99,"2020-03-01",2020,"全国","zenkoku"
17294,6857,10437,2079774177,948410078,1131364099,1,"2020-03-01",2020,"北海道","Hokkaido"
4608,1995,2613,507535617,255198594,252337023,2,"2020-03-01",2020,"青森","Aomori"
3819,1614,2205,426409209,205717110,220692099,3,"2020-03-01",2020,"岩手","Iwate"
7269,3181,4088,904047526,459975595,444071931,4,"2020-03-01",2020,"宮城","Miyagi"
2969,1271,1698,343508901,169782705,173726196,5,"2020-03-01",2020,"秋田","Akita"
3500,1504,1996,423569860,203837614,219732246,6,"2020-03-01",2020,"山形","Yamagata"
6306,2842,3464,793737108,405646523,388090585,7,"2020-03-01",2020,"福島","Fukushima"
7477,3428,4049,965083924,502956004,462127920,8,"2020-03-01",2020,"茨城","Ibaraki"
5632,2578,3054,692138061,363470893,328667168,9,"2020-03-01",2020,"栃木","Tochigi"
5686,2843,2843,725677877,406140971,319536906,10,"2020-03-01",2020,"群馬","Gunma"
20637,9894,10743,2713411226,1467339958,1246071268,11,"2020-03-01",2020,"埼玉","Saitama"
15990,7417,8573,2241703873,1181695449,1060008424,12,"2020-03-01",2020,"千葉","Chiba"
36344,16225,20119,5280931989,2591645148,2689286841,13,"2020-03-01",2020,"東京","Tokyo"
23850,11250,12600,3421113539,1818612400,1602501139,14,"2020-03-01",2020,"神奈川","Kanagawa"
6050,2491,3559,729424435,341863719,387560716,15,"2020-03-01",2020,"新潟","Niigata"
2588,1092,1496,320879454,154228957,166650497,16,"2020-03-01",2020,"富山","Toyama"
3251,1394,1857,406275261,197928268,208346993,17,"2020-03-01",2020,"石川","Ishikawa"
2015,791,1224,235889464,108551847,127337617,18,"2020-03-01",2020,"福井","Fukui"
2269,1002,1267,274020815,137130087,136890728,19,"2020-03-01",2020,"山梨","Yamanashi"
6860,2954,3906,812622999,397189177,415433822,20,"2020-03-01",2020,"長野","Nagano"
4849,2084,2765,593387684,288370660,305017024,21,"2020-03-01",2020,"岐阜","Gifu"
10194,4553,5641,1295565642,646690330,648875312,22,"2020-03-01",2020,"静岡","Shizuoka"
19798,8519,11279,2566621326,1237335501,1329285825,23,"2020-03-01",2020,"愛知","Aichi"
5685,2497,3188,682477892,340002298,342475594,24,"2020-03-01",2020,"三重","Mie"
4175,1811,2364,520240353,255643799,264596554,25,"2020-03-01",2020,"滋賀","Shiga"
7248,2907,4341,937763680,433560069,504203611,26,"2020-03-01",2020,"京都","Kyoto"
25994,10833,15161,3356446734,1584632974,1771813760,27,"2020-03-01",2020,"大阪","Osaka"
15686,6569,9117,2034528060,968445518,1066082542,28,"2020-03-01",2020,"兵庫","Hyogo"
3407,1523,1884,441407492,229040000,212367492,29,"2020-03-01",2020,"奈良","Nara"
2775,1179,1596,322172573,159698722,162473851,30,"2020-03-01",2020,"和歌山","Wakayama"
