...1,...2,被保護世帯数...3,被保護世帯数...4,被保護世帯数...5,被保護実人員...6,被保護実人員...7,被保護実人員...8,保護開始世帯数,保護廃止世帯数,year_month
指定都市（別掲）,大阪市,112615,112090,525,134648,134007,641,1174,1320,2020-10-01
指定都市（別掲）,堺市,19288,19259,29,24903,24860,43,196,214,2020-10-01
指定都市（別掲）,神戸市,33903,33753,150,44137,43944,193,300,316,2020-10-01
指定都市（別掲）,岡山市,9830,9804,26,12787,12751,36,87,104,2020-10-01
指定都市（別掲）,広島市,18443,18356,87,23802,23686,116,172,218,2020-10-01
指定都市（別掲）,北九州市,18326,18241,85,22649,22555,94,168,168,2020-10-01
指定都市（別掲）,福岡市,33603,33471,132,42490,42322,168,353,372,2020-10-01
指定都市（別掲）,熊本市,11984,11945,39,15032,14986,46,141,116,2020-10-01
中核市（別掲）,旭川市,9880,9848,32,12210,12174,36,64,76,2020-10-01
中核市（別掲）,函館市,9327,9315,12,11492,11479,13,90,79,2020-10-01
中核市（別掲）,青森市,6769,6767,2,8311,8309,2,46,37,2020-10-01
中核市（別掲）,八戸市,3452,3443,9,4224,4214,10,25,36,2020-10-01
中核市（別掲）,盛岡市,3820,3800,20,4600,4576,24,36,35,2020-10-01
中核市（別掲）,秋田市,4278,4276,2,5254,5250,4,27,28,2020-10-01
中核市（別掲）,山形市,1789,1770,19,2172,2152,20,20,13,2020-10-01
中核市（別掲）,郡山市,2719,2715,4,3283,3279,4,42,17,2020-10-01
中核市（別掲）,いわき市,3342,3338,4,4271,4267,4,42,47,2020-10-01
中核市（別掲）,福島市,2543,2539,4,3103,3099,4,40,23,2020-10-01
中核市（別掲）,水戸市,4077,4037,40,5199,5140,59,36,31,2020-10-01
中核市（別掲）,宇都宮市,6688,6647,41,8279,8219,60,52,64,2020-10-01
中核市（別掲）,前橋市,3432,3390,42,4143,4087,56,29,27,2020-10-01
中核市（別掲）,高崎市,2904,2890,14,3438,3423,15,26,21,2020-10-01
中核市（別掲）,川越市,3476,3471,5,4433,4428,5,37,31,2020-10-01
中核市（別掲）,越谷市,3363,3349,14,4369,4349,20,27,29,2020-10-01
中核市（別掲）,川口市,9090,9064,26,11581,11543,38,94,84,2020-10-01
中核市（別掲）,船橋市,7207,7179,28,9085,9051,34,88,78,2020-10-01
中核市（別掲）,柏市,3777,3767,10,4780,4770,10,30,44,2020-10-01
中核市（別掲）,八王子市,7479,7467,12,9392,9380,12,62,50,2020-10-01
中核市（別掲）,横須賀市,4119,4090,29,5263,5222,41,46,35,2020-10-01
中核市（別掲）,富山市,1946,1941,5,2241,2236,5,40,15,2020-10-01
中核市（別掲）,金沢市,3523,3496,27,4054,4019,35,18,37,2020-10-01
中核市（別掲）,福井市,2075,2055,20,2565,2542,23,26,21,2020-10-01
中核市（別掲）,甲府市,2368,2353,15,2841,2823,18,36,35,2020-10-01
中核市（別掲）,長野市,2636,2609,27,3272,3230,42,29,22,2020-10-01
中核市（別掲）,岐阜市,5128,5097,31,6147,6110,37,40,46,2020-10-01
中核市（別掲）,豊橋市,1728,1717,11,2060,2047,13,14,15,2020-10-01
中核市（別掲）,豊田市,1786,1778,8,2384,2375,9,26,17,2020-10-01
中核市（別掲）,岡崎市,1700,1685,15,2128,2107,21,20,12,2020-10-01
中核市（別掲）,大津市,3038,3024,14,3912,3893,19,35,23,2020-10-01
中核市（別掲）,高槻市,4257,4251,6,5738,5729,9,41,34,2020-10-01
中核市（別掲）,東大阪市,13895,13851,44,17758,17697,61,90,126,2020-10-01
中核市（別掲）,豊中市,7538,7521,17,9691,9670,21,71,54,2020-10-01
中核市（別掲）,枚方市,5716,5686,30,7515,7465,50,39,51,2020-10-01
中核市（別掲）,八尾市,5934,5931,3,7732,7729,3,60,49,2020-10-01
中核市（別掲）,寝屋川市,5487,5458,29,7165,7115,50,41,57,2020-10-01
中核市（別掲）,吹田市,4325,4323,2,5650,5647,3,34,55,2020-10-01
中核市（別掲）,姫路市,6660,6636,24,8262,8232,30,55,73,2020-10-01
中核市（別掲）,西宮市,5929,5880,49,7806,7713,93,39,52,2020-10-01
中核市（別掲）,尼崎市,13701,13682,19,17487,17457,30,86,144,2020-10-01
中核市（別掲）,明石市,3900,3886,14,5113,5098,15,37,45,2020-10-01
中核市（別掲）,奈良市,5416,5360,56,7176,7082,94,36,33,2020-10-01
中核市（別掲）,和歌山市,7455,7431,24,8951,8920,31,63,65,2020-10-01
中核市（別掲）,鳥取市,2151,2127,24,2820,2792,28,17,24,2020-10-01
中核市（別掲）,松江市,2066,2054,12,2635,2621,14,23,22,2020-10-01
中核市（別掲）,倉敷市,5328,5317,11,7091,7075,16,56,51,2020-10-01
中核市（別掲）,福山市,4760,4748,12,6071,6059,12,36,53,2020-10-01
中核市（別掲）,呉市,2750,2723,27,3441,3399,42,21,25,2020-10-01
中核市（別掲）,下関市,3158,3153,5,3855,3848,7,30,32,2020-10-01
中核市（別掲）,高松市,4977,4933,44,6237,6186,51,46,30,2020-10-01
中核市（別掲）,松山市,9564,9552,12,11495,11482,13,58,70,2020-10-01
中核市（別掲）,高知市,8852,8815,37,11166,11114,52,58,73,2020-10-01
中核市（別掲）,久留米市,5203,5191,12,6545,6530,15,39,43,2020-10-01
中核市（別掲）,長崎市,9399,9341,58,12189,12120,69,62,75,2020-10-01
中核市（別掲）,佐世保市,3990,3975,15,5042,5023,19,31,38,2020-10-01
中核市（別掲）,大分市,7030,6972,58,8451,8387,64,58,57,2020-10-01
中核市（別掲）,宮崎市,6877,6857,20,8530,8510,20,77,72,2020-10-01
中核市（別掲）,鹿児島市,11705,11609,96,14903,14744,159,92,95,2020-10-01
中核市（別掲）,那覇市,10284,10277,7,13138,13131,7,91,98,2020-10-01
